,sentence1,sentence2,similarity_score,aug1,aug2
5451,EE.UU. y la OTAN plantean dudas sobre la retirada de Rusia de la frontera con Ucrania,"No hay señales de que los rusos se retiren de la frontera de Ucrania, dice el oficial.",0.5199999809265137,Estados Unidos y la OTAN manifiestan incertidumbre acerca de la retirada de Rusia de la frontera ucraniana,"No hay indicios de que las tropas rusas se retiren de la frontera con Ucrania, según un alto mando."
5452,FTSE Bursa Malaysia update: 11.30am,FTSE Bursa Malaysia update: 3.00pm,0.6800000190734863,Actualización de FTSE Bursa Malaysia: 11.30am,Actualización de la bolsa de valores FTSE Bursa Malaysia: 3:00 p.m.
5453,Termina la búsqueda del accidente de helicóptero en Glasgow,Choque de helicópteros en Glasgow: La mujer PC es la víctima,0.5599999904632569,Finaliza la búsqueda del siniestro de helicóptero en Glasgow,Choque de helicópteros en Glasgow: Una policía mujer es la víctima.
5454,Citas en las noticias,Citas del día,0.6400000095367432,Citas destacadas en los medios de comunicación,Citas del día.
5455,Philip deja el hospital después de 11 días,Mandela deja el hospital después de 10 días,0.3599999904632568,Felipe abandona el hospital tras once días ingresado,Mandela abandona el hospital tras diez días de ingreso.
5456,"El fragmento de hueso ""podría ser el Rey Alfredo",Los restos en Winchester podrían ser el Rey Alfredo el Grande,0.9199999809265136,"El fragmento óseo ""podría pertenecer al Rey Alfredo""",Descubrimiento en Winchester: Los restos podrían pertenecer al rey Alfredo el Grande.
5457,Israel libera al segundo grupo de prisioneros palestinos,Israel libera a 26 prisioneros palestinos,0.7599999904632568,Israel pone en libertad al segundo conjunto de reos palestinos,Israel libera a 26 presos palestinos.
5458,Dos paracaidistas muertos después de chocar durante el salto de EE.UU.,Dos paracaidistas muertos después de chocar durante el salto en Arizona,0.7599999904632568,Dos paracaidistas fallecen después de colisionar durante el salto en Estados Unidos,Dos paracaidistas fallecen tras colisionar durante un salto en Arizona.
5459,Los jetpacks de 'Iron Man' provocan preocupación en Hawaii,Las mochilas Jetpacks de 'Iron Man' provocan preocupaciones,0.7599999904632568,Los jetpacks al estilo 'Iron Man' generan inquietud en Hawái,Preocupaciones por las mochilas propulsoras de 'Iron Man': Los dispositivos de vuelo similares a las que usa el personaje de ficción generan inquietud.
5460,Israel libera a los prisioneros palestinos,Israel libera a 26 prisioneros palestinos,0.9199999809265136,Israel permite la libertad de los presos palestinos,Israel ha puesto en libertad a 26 reclusos palestinos.
5461,"Francia dice que no ""eludirá responsabilidades"" en Siria",Francia pide a la UE que se una a Siria,0.5199999809265137,"Francia asegura que no ""esquivará culpas"" en Siria",Francia ha solicitado a la Unión Europea que se una a Siria.
5462,"Sospechoso de la bomba de Boston identificado en el video de vigilancia, sin arresto.","El sospechoso del atentado de Boston estaba bajo la vigilancia del FBI, dice que la madre",0.6800000190734863,"Sospechoso del explosivo de Boston identificado en grabaciones de seguridad, sin ser detenido.",La madre del sospechoso de la bomba de Boston ha afirmado que su hijo estaba siendo monitorizado por el FBI.
5463,La ira de China hacia Corea del Norte supera la preocupación por EE.UU.,La ira de China hacia Corea del Norte supera la preocupación por los vuelos secretos de EE.UU.,0.6400000095367432,La indignación de China hacia Corea del Norte prevalece sobre la inquietud por Estados Unidos.,La furia de China hacia Corea del Norte ha superado su preocupación por los vuelos clandestinos de los Estados Unidos.
5464,El yuan de China se fortalece a un nuevo máximo contra el USD,El yuan chino se debilita hasta 6.1705 frente al dólar americano,0.4400000095367432,El yuan chino se robustece a un nuevo récord frente al dólar estadounidense,"El yuan chino ha caído hasta los 6,1705 frente al dólar estadounidense."
5465,Hombre retenido después de que un adolescente fuera disparado en Belfast,"Hombre de 40 años, arrestado después de un tiroteo",0.6400000095367432,Individuo retenido tras el disparo a un adolescente en Belfast,Un individuo de 40 años ha sido detenido después de un tiroteo.
5466,La policía detiene las elecciones presidenciales de Maldivas,Keita gana las elecciones presidenciales de Malí,0.2400000095367431,Las fuerzas policiales paralizan las elecciones presidenciales en Maldivas,Keita ha ganado las elecciones presidenciales de Malí.
5467,El ejército indio mata a tres militantes en la Cachemira controlada por la India,Tropas indias matan a un comandante militante en la Cachemira controlada por la India,0.7199999809265136,El ejército indio abate a tres insurgentes en la Cachemira bajo su control,Las tropas indias han abatido a un comandante de la milicia en la Cachemira bajo control indio.
5468,Un coche bomba mata a 20 personas en el noroeste de Siria,Un coche bomba mata a 40 personas en el noroeste de Pakistán,0.2400000095367431,Un automóvil bomba asesina a 20 personas en el noroeste sirio,Un coche bomba ha causado la muerte de 40 personas en el noroeste de Pakistán.
5469,Irán aumenta el intercambio de petróleo con sus vecinos orientales,El Irán insta a la rápida liberación de un diplomático,0.0800000011920929,Irán incrementa el comercio de petróleo con sus vecinos del este,Irán ha reclamado la liberación inmediata de un diplomático.
5470,El presidente de Turquía hace un llamamiento a la calma,La casa de Texas aprueba provisionalmente la ley de aborto,0.0,El líder de Turquía pide serenidad,La legislatura de Texas da el visto bueno preliminar a la normativa sobre interrupción del embarazo.
5471,Corea del Norte prueba el disparo de 30 misiles en el mar,N Corea 'dispara 100 proyectiles' al mar,0.5599999904632569,Corea del Norte realiza ensayos de lanzamiento de 30 misiles en el mar,Corea del Norte lanza supuestamente 100 proyectiles hacia el mar.
5472,El hombre muere en el incendio de la casa de Co Donegal,Una mujer muere en el incendio de la casa de Co Cork,0.4400000095367432,Un individuo fallece en el incendio de una vivienda en Co Donegal,Una mujer fallece en un incendio que afecta una vivienda en el condado de Cork.
5473,La explosión de gas de Doha mata a 12 personas e hiere a docenas.,"Un misil sirio mata a 26 personas, incluyendo 8 niños",0.1200000047683715,La detonación de gas en Doha causa la muerte de 12 personas y deja varias decenas de heridos.,"Un proyectil lanzado por las fuerzas sirias provoca la muerte de 26 individuos, entre ellos 8 menores de edad."
5474,Los colegios electorales se abren en las elecciones presidenciales de Ucrania,Se abren las nominaciones para los premios e.TV Ghana Most Influential,0.0400000005960464,Los centros de votación se abren para las elecciones presidenciales en Ucrania,Se inician las postulaciones para los reconocimientos e.TV Ghana Most Influential.
5475,Tinta India: Imagen del día: 21 de abril,Tinta India: Imagen del día: 2 de mayo,0.5199999809265137,Tinta India: Imagen destacada del día: 21 de abril,Tinta India: Fotografía del día: 2 de mayo.
5476,Dos periodistas franceses asesinados en Malí,Francia confirma que dos periodistas franceses fueron asesinados en Malí,1.0,Dos periodistas franceses son asesinados en Malí,Francia confirma el deceso de dos reporteros franceses durante su labor en Malí.
5477,Hombres armados matan a nueve turistas en Pakistán,Unos pistoleros atacan un hotel en una remota provincia pakistaní,0.6400000095367432,Hombres armados asesinan a nueve turistas en Pakistán,Hombres armados perpetran un ataque a un hotel ubicado en una provincia apartada de Pakistán.
5478,Israel y Hamas observarán una breve tregua en Gaza,"Israel y Hamas ""Aceptan una tregua temporal",0.9199999809265136,Israel y Hamas acuerdan un alto el fuego temporal en Gaza,Israel y Hamas acuerdan un cese temporal de las hostilidades.
5479,El problemático Xinjiang de China es golpeado por más violencia,La población en línea de China se eleva a 618 millones de personas,0.0800000011920929,La conflictiva región de Xinjiang en China sufre más violencia,La población digital de China alcanza los 618 millones de habitantes.
5480,Los familiares se pelean con la policía después de que un incendio en China mata a 120 personas.,Familias enojadas exigen respuestas después de que un incendio en una planta de China mata a 119,0.7599999904632568,Los parientes se enfrentan a las fuerzas del orden luego de que un incendio en China cobrara la vida de 120 individuos.,Familias afligidas exigen explicaciones tras el incendio en una fábrica china que causó la muerte de 119 personas.
5481,Irán rechaza la reclamación de las bombas de cloro,Irán rechaza la reclamación de la MKO sobre el sitio nuclear,0.4800000190734863,Irán niega las acusaciones sobre el uso de bombas de cloro,Irán desmiente las afirmaciones de la MKO sobre el centro nuclear.
5482,La esposa del ministro de la India murió de forma no natural tras los rumores de una aventura.,"La muerte de la esposa del ministro es ""antinatural"".",0.7599999904632568,La cónyuge del ministro indio falleció de manera sospechosa ante los rumores de una infidelidad.,La muerte de la esposa del ministro se considera inusual.
5483,"3 muertos, 1 herido en un tiroteo en el motel Oceanfront de Carolina del Sur.","4 muertos, 30 heridos en una colisión de trenes cerca de Moscú.",0.0400000005960464,Tres personas fallecidas y una herida en un tiroteo en el motel Oceanfront de Carolina del Sur.,Cuatro fallecidos y treinta heridos en un accidente ferroviario cerca de Moscú.
5484,El entierro del sospechoso del atentado de Boston parece legal,Listo para ir a casa. La última víctima del bombardeo de Boston deja el hospital,0.2,El entierro del acusado por el ataque en Boston parece ser legítimo,"La última víctima del atentado de Boston abandona el hospital, lista para volver a casa."
5485,5 muertos en el derrumbe de la carretera de China Sur,02:41 156 muertos en el terremoto de China,0.2400000095367431,Cinco personas pierden la vida en el colapso de la vía en el sur de China,Se contabilizan 156 fallecidos en el terremoto de China.
5486,Presidente de Sudáfrica: Mandela está mejorando,El presidente afgano retrasa la firma del acuerdo con EE.UU.,0.0,Presidente de Sudáfrica: Mandela se encuentra en recuperación,El presidente afgano pospone la rúbrica del pacto con Estados Unidos.
5487,"World News Update, lo que necesitas saber",La tasa de impuestos del trabajo de 50 peniques: lo que necesitas saber,0.1200000047683715,"Actualización de Noticias Mundiales, lo que debes conocer",Impuesto sobre el trabajo de cincuenta peniques: todo lo que necesitas saber.
5488,La guerra civil de Siria en fotos,Las conversaciones de paz sobre la guerra civil en Siria corren peligro por la invitación del Irán,0.2400000095367431,La guerra civil siria en imágenes,Las conversaciones de paz para la guerra civil en Siria se encuentran en riesgo debido a la invitación a Irán.
5489,Abdullah amplía el liderazgo en la encuesta presidencial afgana,Se escucharon explosiones cerca del palacio presidencial afgano,0.2,Abdullah aumenta su ventaja en la encuesta presidencial afgana,Se registraron detonaciones cerca del palacio presidencial afgano.
5490,Imran culpa a su rival por el asesinato de su colega.,Los pakistaníes de Imran culpan a su rival por matar a un miembro del partido.,0.8399999618530274,Imran acusa a su contrincante por el homicidio de su compañero.,Los simpatizantes de Imran en Pakistán acusan a su oponente de la muerte de un miembro del partido.
5491,Bangladesh rinde homenaje a las víctimas de las fábricas,Los minoristas respaldan el pacto de seguridad de las fábricas de Bangladesh,0.5599999904632569,Bangladesh conmemora a las víctimas de las fábricas.,Los vendedores minoristas aprueban el acuerdo de seguridad en las fábricas de Bangladesh.
5492,El hombre que se prendió fuego en el National Mall ha muerto,"El hombre se prende fuego en el National Mall, volando al hospital",0.6,El individuo que se autoinmoló en el National Mall falleció.,Un hombre se incendia en el National Mall y es trasladado al hospital.
5493,Japón defiende la caza de delfines después de las críticas de EE.UU.,Japón defiende la caza de delfines después de las críticas de EE.UU.,1.0,Japón justifica la cacería de delfines tras las críticas de Estados Unidos.,Japón defiende la caza de delfines tras las críticas de Estados Unidos.
5494,"La explosión de una bomba sacude un centro comercial en Nigeria, 12 muertos",Las bombas explotan antes de que el mitin de la oposición india mate a 4,0.2799999952316284,"Una detonación de bomba estremece un centro comercial en Nigeria, causando 12 muertos.",Explosiones antes del mitin de la oposición india dejan un saldo de 4 muertos.
5495,El tifón de Filipinas causó 4.460 muertes: ONU,El número de muertos por el tifón de Filipinas supera los 5.000,0.6800000190734863,"El tifón en Filipinas provocó 4.460 decesos, según la ONU.",El número de fallecidos por el tifón en Filipinas supera los 5.000.
5496,La policía dispara gases lacrimógenos sobre los manifestantes venezolanos por el voto,"El heredero de Chávez, Maduro, gana la presidencia de Venezuela",0.1200000047683715,La policía lanza gases lacrimógenos contra los manifestantes venezolanos por el sufragio.,"El heredero de Chávez, Maduro, gana las elecciones presidenciales de Venezuela."
5497,La ola de ataques mata al menos a 95 personas en Irak,Un ataque suicida mata al menos a 12 personas en el norte del Iraq,0.3599999904632568,Una serie de ataques segó la vida de al menos 95 personas en Irak.,Un ataque suicida causa al menos 12 muertos en el norte de Irak.
5498,El principal asesor político chino se reúne con el Primer Ministro griego,Un importante asesor político chino se reúne con el presidente yemení,0.6800000190734863,El principal asesor político chino sostiene una reunión con el Primer Ministro griego.,Un importante asesor político chino se reúne con el presidente yemení.
5499,Diplomático palestino herido en una explosión en Praga,El embajador palestino herido en la explosión de un apartamento,0.8,Diplomático palestino resulta herido en una explosión en Praga.,El embajador palestino resulta herido en la explosión de un apartamento.
5500,El líder de Ucrania promete conversaciones sobre la crisis,Líder de Ucrania promete conversaciones sobre la crisis,1.0,El dirigente ucraniano se compromete a entablar diálogos sobre la situación crítica.,El jefe de Ucrania se compromete a dialogar sobre la situación actual.
5501,7 muertos en ataques en el Iraq,16 muertos en una serie de ataques en el Iraq,0.6,Se registran 7 fallecidos en ataques en territorio iraquí.,16 personas pierden la vida en una serie de ataques en Irak.
5502,La presencia militar de los Estados Unidos en Asia Oriental,La OTAN aumenta su presencia militar en medio de la amenaza rusa,0.2400000095367431,La presencia de fuerzas militares estadounidenses en el Este Asiático.,La OTAN intensifica su poderío militar en respuesta a la amenaza rusa.
5503,EE.UU. cree que el gobierno sirio utilizó armas químicas,EE.UU. sospecha que Siria usó armas químicas,1.0,Estados Unidos sospecha que el régimen sirio hizo uso de armamento químico.,Estados Unidos alberga sospechas sobre el empleo de armas químicas por parte de Siria.
5504,Las potencias mundiales e Irán reanudarán las conversaciones de expertos nucleares el 30 de diciembre,Los expertos nucleares de Irán y las potencias mundiales reanudarán las conversaciones la próxima semana,0.8,Las potencias globales y Irán retomarán las discusiones nucleares a nivel experto el 30 de diciembre.,Los expertos nucleares de Irán y las potencias globales retomarán las conversaciones la semana entrante.
5505,La Hermandad Musulmana de Egipto se niega a retroceder,Un tribunal egipcio condena al líder de la Hermandad Musulmana a cadena perpetua,0.2799999952316284,La Hermandad Musulmana egipcia se rehúsa a ceder.,Un tribunal egipcio impone una pena de prisión perpetua al líder de la Hermandad Musulmana.
5506,Por lo menos 6 muertos en un accidente de autobús o tren en Canadá.,Al menos 6 muertos en el accidente de tren de París,0.4400000095367432,Al menos 6 personas pierden la vida en un accidente de autobús o tren en Canadá.,Al menos seis individuos fallecieron en el siniestro ferroviario en París.
5507,"El presidente chino se reúne con la PM griega, pidiendo una asociación más fuerte",El presidente chino se reúne con el vicepresidente indio,0.3599999904632568,"El mandatario chino se reúne con la Primera Ministra griega, solicitando una alianza más sólida.",El mandatario chino tiene un encuentro con el vicepresidente indio.
5508,AstraZeneca paga 4.100 millones de dólares para comprar Bristol-Myers Squibb de la alianza contra la diabetes,AstraZeneca comprará Bristol de la empresa de diabetes por hasta 4.100 millones de dólares,1.0,AstraZeneca desembolsa 4.100 millones de dólares para adquirir la rama de Bristol-Myers Squibb contra la diabetes.,AstraZeneca adquirirá la compañía de diabetes Bristol por un monto de hasta 4.100 millones de dólares.
5509,Fugitivo italiano arrestado en la República Dominicana,Un rompehielos australiano llega a la Antártida Oriental para una nueva oferta de rescate,0.0,Fugitivo italiano detenido en la República Dominicana.,Un barco rompehielos australiano alcanza la Antártida Oriental para una nueva misión de socorro.
5510,India y EE.UU. mantendrán conversaciones sobre China la próxima semana,Egipto mantendrá más conversaciones con el FMI sobre el préstamo la próxima semana,0.2799999952316284,"La próxima semana, India y Estados Unidos sostendrán diálogos en relación a China.",Egipto tendrá más conversaciones con el Fondo Monetario Internacional sobre un préstamo la semana que viene.
5511,Israel lleva a cabo una ofensiva terrestre en Gaza,Israel lanza una ofensiva terrestre en Gaza,0.9600000381469728,Israel emprende una operación terrestre en la Franja de Gaza.,Israel ha iniciado una ofensiva terrestre en la Franja de Gaza.
5512,"Ehud Olmert, ex primer ministro israelí, condenado a seis años de cárcel por corrupción",Ehud Olmert condenado a seis años en Israel,0.7599999904632568,"El ex Primer Ministro de Israel, Ehud Olmert, recibe una sentencia de seis años de prisión por corrupción.",El ex primer ministro israelí Ehud Olmert ha sido condenado a seis años de prisión.
5513,Brahimi se disculpa con Siria por la falta de progreso en la paz,El mediador se disculpa con los sirios por la falta de progreso en la paz,0.7599999904632568,Brahimi ofrece disculpas a Siria por la ausencia de avances en el proceso de paz.,El mediador se ha disculpado con los sirios por la falta de avances en las conversaciones de paz.
5514,Los manifestantes egipcios lanzan un ultimátum de renuncia a Morsi,Los manifestantes ucranianos se enfrentan a la policía en nuevos enfrentamientos,0.0800000011920929,Los protestantes egipcios presentan un ultimátum de dimisión a Morsi.,Manifestantes ucranianos se han enfrentado a la policía en nuevos enfrentamientos.
5515,5 cosas que hay que saber sobre las Olimpiadas de Sochi,7 cosas que hay que saber sobre el etanol,0.0,Cinco aspectos clave a conocer sobre los Juegos Olímpicos de Sochi.,Siete aspectos clave del etanol.
5516,Las existencias de China abren a la baja el miércoles,Las existencias de China cierran a la baja el lunes,0.5199999809265137,Las acciones chinas inician a la baja en la jornada del miércoles.,Las bolsas de China cerraron a la baja el lunes.
5517,EE.UU. retrasa la prueba del misil mientras las tensiones aumentan,"William Hague: La decisión de EE.UU. de detener las pruebas de misiles es ""sensata",0.6800000190734863,Estados Unidos pospone la prueba del misil debido al incremento de tensiones.,"William Hague ha declarado que la decisión de Estados Unidos de detener las pruebas de misiles es ""sensata""."
5518,El fuego en Beijing mata a 10,El fuego en Beijing mata a diez,1.0,Un incendio en Beijing provoca la muerte de diez personas.,Un incendio en Beijing ha provocado la muerte de diez personas.
5519,Pacto de la frontera de tinta de la India y China; otros 8 acuerdos,Acuerdo de tinta de la India y China sobre ríos transfronterizos,0.7599999904632568,"Acuerdo fronterizo sellado con tinta entre India y China; además, se firman ocho convenios adicionales.",India y China han llegado a un acuerdo sobre los ríos transfronterizos.
5520,Venezuela expulsa a tres diplomáticos estadounidenses,Venezuela expulsa a tres diplomáticos estadounidenses,1.0,Venezuela ordena la salida de tres diplomáticos de EE.UU.,Venezuela ha ordenado la salida del país de tres diplomáticos estadounidenses.
5521,"El smog pesado llega a la ciudad del norte de China, los vuelos se cancelan","El smog pesado llega a la ciudad del norte de China, los vuelos se cancelan",1.0,"Una densa contaminación se apodera de la ciudad norteña de China, provocando la cancelación de vuelos.",El denso smog en el norte de China ha obligado a cancelar varios vuelos.
5522,Rusia afirma haber frustrado un posible acto terrorista,"Rusia dice que los ""objetos"" balísticos disparados en el Mediterráneo",0.2799999952316284,Rusia alega haber desbaratado un potencial atentado terrorista.,"Rusia ha informado del lanzamiento de ""objetos"" balísticos en el mar Mediterráneo."
5523,3 turistas chinos muertos en Pakistán,Siete secuestradores muertos en el sur de Nigeria,0.0800000011920929,Tres turistas chinos pierden la vida en Pakistán.,Siete secuestradores han sido abatidos en una operación en el sur de Nigeria.
5524,La Copa del Mundo de Seven al alcance de Kenia,El choque de estilos en la corte abre el juicio en la muerte del joven.,0.0,La Copa Mundial de Seven está a punto de ser ganada por Kenia.,El juicio por la muerte del joven ha comenzado con un choque de estilos entre las partes.
5525,Hombres armados matan a 10 turistas extranjeros en el norte de Pakistán,"Los militantes islámicos matan a 9 turistas extranjeros, 1 pakistaní",0.5199999809265137,Hombres armados asesinan a diez turistas extranjeros en el norte de Pakistán.,Militantes islámicos han asesinado a 9 turistas extranjeros y a un ciudadano pakistaní.
5526,Un austriaco encontró 56 cráneos robados en un museo casero,Cráneos robados encontrados en el museo de la casa,0.6800000190734863,Un austriaco descubre 56 cráneos robados en un museo casero.,Cráneos robados han sido descubiertos en el museo de la casa.
5527,Egipto lanza una ofensiva contra los militantes del Sinaí,Egipto lanza una ofensiva contra los insurgentes del Sinaí,1.0,Egipto inicia una ofensiva contra los militantes del Sinaí.,Egipto ha iniciado una operación militar contra insurgentes en el Sinaí.
5528,"La ola de calor del suroeste, que bate récords, se vuelve fatal","Al menos 1 muerto, 40 hospitalizados en la ola de calor del suroeste",0.8,La ola de calor récord en el suroeste se vuelve mortal.,Al menos una persona ha muerto y 40 han sido hospitalizadas debido a la ola de calor en el suroeste.
5529,Detroit es elegible para la protección por bancarrota: Juez de los Estados Unidos,Detroit es elegible para la protección por bancarrota,0.9199999809265136,"Detroit es aceptada para la protección por quiebra, según un juez de los Estados Unidos.",La ciudad de Detroit ha sido declarada elegible para la protección por bancarrota.
5530,La autora británica ganadora del Nobel Doris Lessing muere,La autora ganadora del Premio Nobel Doris Lessing muere,0.8399999618530274,"La escritora británica premiada con el Nobel, Doris Lessing, fallece.","La escritora galardonada con el Premio Nobel, Doris Lessing, fallece."
5531,El gobierno israelí autoriza nuevos asentamientos antes de las conversaciones,Israel aprueba nuevos asentamientos antes de las conversaciones de paz,0.9600000381469728,El gobierno israelí da luz verde a nuevos asentamientos previos a las negociaciones.,Israel aprueba la construcción de nuevos asentamientos antes de las conversaciones de paz.
5532,El jefe talibán paquistaní muerto en un ataque con aviones no tripulados de EE.UU.,El funeral del jefe talibán de Pakistán 'está a punto de celebrarse'.,0.3200000047683716,El líder talibán paquistaní perece en un ataque con drones estadounidense.,La ceremonia fúnebre del líder talibán paquistaní está a punto de comenzar.
5533,Putin firma el tratado anexo a Crimea,09:32 Putin firma la anexión de Crimea,0.7199999809265136,Putin ratifica el acuerdo de anexión de Crimea.,Putin firma la anexión de Crimea a las 09:32 horas.
5534,La FAA continúa la prohibición de los vuelos de EE.UU. a Tel Aviv,La FAA levanta la prohibición de los vuelos de EE.UU. a Tel Aviv,0.3599999904632568,La FAA mantiene la prohibición de los vuelos estadounidenses a Tel Aviv.,La FAA levanta la prohibición de vuelos de EE.UU. a Tel Aviv.
5535,El enviado chino rechaza las acusaciones vietnamitas y filipinas sobre el Mar de la China Meridional,El chino Xi dice que Vietnam quiere la paz en el Mar de la China Meridional,0.6400000095367432,El representante chino niega las acusaciones vietnamitas y filipinas sobre el Mar del Sur de China.,El dirigente chino Xi declara que Vietnam desea la paz en el Mar de China Meridional.
5536,Cuatro personas más fueron arrestadas por el mayor sindicato de importación de tabaco ilegal de Australia,La policía apunta al sindicato de tabaco ilegal,0.5599999904632569,Cuatro individuos adicionales son detenidos por el mayor sindicato de contrabando de tabaco ilegal de Australia.,La policía investiga un posible sindicato de contrabando de tabaco.
5537,"Obama se mueve para llenar la junta directiva de la Fed, y llama a Fischer a ser el número 2.",Obama expresa su voluntad de hablar con el Partido Republicano sobre el presupuesto,0.0800000011920929,Obama toma medidas para completar la junta directiva de la Fed y nombra a Fischer como su segundo al mando.,Obama manifiesta su disposición a dialogar con el Partido Republicano sobre el presupuesto.
5538,El presidente de Irán condena el uso de armas químicas en Siria,Probar el presunto uso de armas químicas en Siria,0.3200000047683716,El presidente iraní condena el empleo de armamento químico en Siria.,Se lleva a cabo una investigación para determinar el posible uso de armas químicas en Siria.
5539,Una sociedad que se deshilacha en los bordes,Las viejas alineaciones de la TV se rompen en los bordes,0.0800000011920929,Una sociedad que se deshilacha por los extremos.,Las viejas alineaciones de la televisión se están desmoronando.
5540,La ONU invita a Irán a la Conferencia de Paz de Siria,ONU: Irán invitado a asistir a la Conferencia de Paz de Siria,1.0,Las Naciones Unidas extienden una invitación a Irán para la Cumbre de Paz de Siria.,Las Naciones Unidas han invitado a Irán a participar en la Conferencia de Paz de Siria.
5541,Aumenta el número de muertos en un accidente de autobús en Italia,Starbucks despeja el camino de los títulos universitarios para los trabajadores,0.0,Se eleva la cifra de fallecidos en un accidente de autobús en Italia.,Starbucks ha eliminado el requisito de tener un título universitario para sus empleados.
5542,Un árbitro de fútbol golpeado por un jugador muere,La policía: El árbitro de fútbol de Utah golpeado por el jugador muere,0.8399999618530274,Un árbitro de fútbol fallece tras ser agredido por un jugador.,"La policía ha confirmado la muerte del árbitro de fútbol de Utah, quien fue atacado por un jugador."
5543,Angela Merkel se dirigió a una estrecha victoria en las elecciones alemanas,El nuevo presidente de Malawi juró su cargo después de unas disputadas elecciones,0.0800000011920929,Angela Merkel se encamina hacia una ajustada victoria en las elecciones alemanas.,El nuevo presidente de Malawi ha tomado posesión de su cargo tras unas elecciones reñidas.
5544,Israel detiene a 37 palestinos mientras continúa la operación de detención,Israel critica la postura palestina sobre los colonos,0.2400000095367431,Israel arresta a 37 palestinos mientras persiste la operación de arrestos.,Israel ha expresado su descontento con la postura palestina en relación con los asentamientos.
5545,Los rebeldes matan a 21 civiles en la aldea alauita de Siria,Una bomba mata a 18 civiles en el Afganistán,0.2400000095367431,Los insurgentes asesinan a 21 civiles en la aldea alauita de Siria.,Una explosión ha causado la muerte de 18 civiles en Afganistán.
5546,El mundo envía socorro de emergencia a las maltratadas Filipinas,El tifón Haiyan: el mundo envía ayuda a las maltratadas Filipinas,1.0,El globo envía asistencia de emergencia a las afligidas Filipinas.,"El mundo se ha volcado en ayuda a Filipinas, que ha sido devastada por el tifón Haiyan."
5547,"Palestino en huelga de hambre, Israel llega a un acuerdo",Activista palestino detenido en una redada israelí,0.2400000095367431,"Palestino en huelga de hambre, Israel alcanza un pacto.",Un activista palestino ha sido arrestado en una redada israelí.
5548,Assad dice que Siria cumplirá con la resolución de armas de la ONU,Assad de Siria se compromete a cumplir con la resolución de la ONU,0.9600000381469728,Assad afirma que Siria acatará la resolución de armamento de la ONU.,"El presidente de Siria, Bashar al-Assad, ha prometido cumplir con la resolución de la ONU."
5549,El presidente de Corea del Sur lamenta la respuesta del ferry,"S. El presidente coreano ""lamenta"" el desastre del ferry",0.9199999809265136,El presidente de Corea del Sur lamenta la reacción del ferry.,El presidente de Corea del Sur ha expresado su pesar por la tragedia del ferry.
5550,El aumento de los precios de los alimentos suscita preocupación en el Irán,El estadounidense Chris Horner gana la Vuelta a España,0.0,El incremento en los costos de los alimentos genera inquietud en Irán.,El ciclista estadounidense Chris Horner se alza con la victoria en la Vuelta a España.
5551,Obama tomó una decisión de última hora sobre la aprobación de Siria,Obama considera que la acción militar en Siria es limitada,0.4,Obama realizó una decisión de último momento respecto a la autorización de Siria.,Obama considera que la intervención militar en Siria será de alcance limitado.
5552,"El conductor vuelve al cochecito con el niño, y se va.","El conductor vuelve con la madre, el cochecito con el niño y luego se va.",0.8,El conductor regresa al carrito con el infante y se marcha.,"El conductor regresa a casa con la madre, mientras que el cochecito con el niño se queda atrás. Posteriormente, el conductor se marcha."
5553,La Princesa de España testifica en la investigación de un fraude histórico,La princesa de España testifica en la histórica investigación de fraude,1.0,La Princesa de España declara en la indagación de un fraude histórico.,La infanta de España presta declaración en la histórica investigación por fraude.
5554,El Senado confirma al nominado de Obama a la corte de apelaciones clave,El Senado aprueba al nominado de Obama para la corte de apelaciones clave,1.0,El Senado ratifica al candidato de Obama para la corte de apelaciones principal.,El Senado aprueba la nominación de Obama para ocupar un puesto en un tribunal de apelaciones de gran importancia.
5555,El jefe de derechos de la ONU presiona a Egipto por la detención de Mursi,El jefe de derechos humanos de la ONU presiona a Egipto sobre la detención de Morsi,1.0,El líder de derechos humanos de la ONU ejerce presión sobre Egipto por la detención de Mursi.,El máximo responsable de derechos humanos de la ONU presiona a Egipto en relación con la detención de Morsi.
5556,El Senado de EE.UU. confirma a Janet Yellen como jefa de la Reserva Federal de EE.UU.,El Senado confirma a Janet Yellen como la próxima presidenta de la Reserva Federal,1.0,El Senado de los Estados Unidos aprueba a Janet Yellen como líder de la Reserva Federal de los Estados Unidos.,El Senado confirma a Janet Yellen como la próxima presidenta de la Reserva Federal.
5557,Grupos de rebeldes sirios luchan entre sí en el norte,Los grupos rebeldes sirios luchan entre sí en el norte,1.0,Facciónes de rebeldes sirios se enfrentan entre sí en el norte.,Grupos rebeldes sirios se enfrentan entre sí en el norte del país.
5558,Mayawati exige el gobierno del presidente en Cachemira,Mayawati exige que los presidentes gobiernen en Jammu y Cachemira,0.6,Mayawati solicita el gobierno del presidente en Cachemira.,Mayawati exige que los presidentes del gobierno ejerzan sus funciones en Jammu y Cachemira.
5559,El presidente de Uganda firma un proyecto de ley anti-gay,El presidente de Uganda firma una dura ley anti-gay,0.8,El presidente de Uganda sanciona un proyecto de ley en contra de los homosexuales.,El presidente de Uganda promulga una ley contra la homosexualidad de carácter restrictivo.
